,SYMBOL,VALUE OF SECURITY (ACQUIRED/DISPLOSED),DATE,CLOSE_PRICE,BUYING QTY OF PROMOTERS/PROMOTER GROUP,BUYING AVG PRICE OF PROMOTERS/PROMOTER GROUP,SELLING QTY PRICE OF PROMOTERS/PROMOTER GROUP (MARKET SELL DATA),SELLING AVG PRICE OF PROMOTERS/PROMOTER GROUP (MARKET SELL DATA),SHAREHOLDING PATTERN OF PROMOTERS/PROMOTER GROUP,SAST REGULATIONS (SOLD QTY),PLEDGED DATA OF PROMOTER/PROMOTER GROUP,SIGNAL
0,LAXMICOT,354600.0,2021-04-13,-,36000.0,9.85,0.0,-,-,-,-,
1,WSTCSTPAPR,9564037.0,2021-04-13,210.25,39739.0,240.6713052668663,0.0,-,56.29,-,0.0,
2,CLEDUCATE,3622870.0,2021-04-13,81.15,43747.0,82.81413582645668,0.0,-,50.63,0.0,-,
3,GODREJAGRO,423846732.0,2021-04-13,507.0,853566.0,496.55999887530663,0.0,-,-,0.0,-,
4,ZUARIGLOB,9317050.0,2021-04-13,81.25,114281.0,81.5275505114586,0.0,-,-,0.0,7.36,
5,GODREJIND,1382605540.0,2021-04-13,516.0,2770983.0,498.9585067826111,0.0,-,-,-,5.69,
6,LAGNAM,784830.0,2021-04-13,15.0,54000.0,14.533888888888889,0.0,-,-,0.0,-,
7,KABRAEXTRU,16926322.0,2021-04-13,168.65,132329.0,127.91090388350248,0.0,-,-,-,0.0,
8,MMP,2088.0,2021-04-13,83.15,24.0,87.0,0.0,-,74.48,12.0,-,
9,TALBROAUTO,2857050.0,2021-04-13,209.6,22056.0,129.53618063112077,0.0,-,58.16,289024.0,0.0,
10,PDMJEPAPER,3372053.0,2021-04-13,22.85,155745.0,21.651115605637422,0.0,-,-,-,-,
11,JSLHISAR,120858800.0,2021-04-13,136.35,979000.0,123.45127681307457,0.0,-,-,-,87.7,
12,PLASTIBLEN,6122304.0,2021-04-13,230.1,25941.0,236.00878917543656,0.0,-,-,-,0.0,
13,TIRUPATIFL,2465500.0,2021-04-13,27.25,95000.0,25.95263157894737,0.0,-,58.03,0.0,47.63,
14,SALZERELEC,1420917.0,2021-04-13,122.35,11200.0,126.86758928571429,0.0,-,35.83,-,-,
15,GOODLUCK,2753323.0,2021-04-13,70.4,42591.0,64.64565283745392,0.0,-,-,0.0,-,
16,ELECTCAST,4451002.0,2021-04-13,31.2,177574.0,25.065617714305024,0.0,-,-,-,13.66,
17,NELCAST,405917.0,2021-04-13,65.3,6237.0,65.08209074875741,0.0,-,74.83,-,0.0,
18,INDTERRAIN,7950776.0,2021-04-13,29.95,267000.0,29.7781872659176,0.0,-,-,-,66.98,
19,RAYMOND,199305280.0,2021-04-13,342.85,569663.0,349.865236113281,0.0,-,48.84,0.0,0.0,
20,GREENPLY,5933016.0,2021-04-13,183.15,34200.0,173.48,0.0,-,-,0.0,0.0,
21,SURANASOL,2215534.0,2021-04-13,8.85,234772.0,9.436960114494063,0.0,-,-,-,-,
22,VTL,312896791.0,2021-04-13,1187.05,280581.0,1115.1745520901272,0.0,-,63.27,-,0.0,PASSED/Kindly confirm SAST data on website
23,UNITEDPOLY,3256495.0,2021-04-13,-,234000.0,13.9166452991453,0.0,-,-,0.0,-,
24,ASHAPURMIN,85689422.0,2021-04-13,121.05,778421.0,110.08107694936288,0.0,-,-,0.0,64.09,
25,VSSL,65175092.0,2021-04-13,149.95,449281.0,145.06531992227582,0.0,-,60.73,0.0,0.0,PASSED
26,MOLDTKPAC,8156674.0,2021-04-13,412.9,25533.0,319.4561547800885,0.0,-,35.22,-,2.9,
27,MAHICKRA,3857025.0,2021-04-13,77.9,48000.0,80.3546875,0.0,-,-,0.0,-,
28,ALMONDZ,1991655.0,2021-04-13,27.0,67880.0,29.340822038892163,0.0,-,-,0.0,0.0,
29,WELENT,494457770.0,2021-04-13,106.0,4100000.0,120.59945609756097,0.0,-,-,-,0.0,
30,ALBERTDAVD,1950387.0,2021-04-13,414.0,5000.0,390.0774,0.0,-,61.25,-,-,
31,JINDALSTEL,37439600.0,2021-04-13,409.45,110000.0,340.36,150000.0,337.9091666666667,-,110000.0,47.76,
32,GODFRYPHLP,128738158.0,2021-04-13,883.35,144562.0,890.5394086966146,0.0,-,-,0.0,0.0,
33,NATHBIOGEN,64127834.0,2021-04-13,340.0,222407.0,288.335502030062,0.0,-,-,177593.0,40.09,
34,VIPCLOTHNG,917958.0,2021-04-13,13.0,63001.0,14.570530626497993,0.0,-,-,9500000.0,0.0,
35,NBIFIN,191407816.0,2021-04-13,1676.8,116518.0,1642.7317324361902,0.0,-,-,0.0,-,
36,GILLANDERS,2894622.0,2021-04-13,40.1,64041.0,45.19951281210474,0.0,-,69.05,-,0.0,
37,APCOTEXIND,2126727.0,2021-04-13,180.15,12000.0,177.22725,0.0,-,58.17,0.0,0.0,
38,SIGIND,3915587.0,2021-04-13,29.5,122749.0,31.899135634506187,0.0,-,-,0.0,-,
39,APOLLOTYRE,4954506.0,2021-04-13,215.45,22000.0,225.20481818181818,1900000.0,242.78972263157894,-,-,13.92,
40,ARCHIDPLY,4151000.0,2021-04-13,30.1,140000.0,29.65,135158.0,29.65000221962444,-,235158.0,0.0,
41,GANECOS,4076446.0,2021-04-13,549.05,8911.0,457.46223768376166,0.0,-,-,-,0.0,
42,GHCL,4570154.0,2021-04-13,217.6,20000.0,228.5077,20000.0,226.9097,-,20000.0,1.09,
43,RGL,14015517.0,2021-04-13,375.95,47201.0,296.9326285460054,607624.0,300.4386100614854,-,804479.0,0.0,
44,EMMBI,1500396.0,2021-04-13,79.55,16200.0,92.61703703703704,0.0,-,58.28,-,0.0,
45,MACPOWER,24583680.0,2021-04-13,85.55,254308.0,96.66892115073061,177.0,99.07909604519774,72.56,0.0,-,
46,SKMEGGPROD,949566.0,2021-04-13,47.05,19000.0,49.97715789473684,0.0,-,55.09,-,0.0,
47,MOTOGENFIN,2804212.0,2021-04-13,19.5,138936.0,20.183480163528532,0.0,-,67.68,0.0,0.0,
48,SANDHAR,4607431.0,2021-04-13,201.95,62635034.0,0.07355996645583365,0.0,-,-,0.0,-,
49,TTL,998983.0,2021-04-13,45.15,21075.0,47.40132858837485,0.0,-,58.06,0.0,0.0,
50,JKIL,135420595.0,2021-04-13,175.25,660457.0,205.04074451478294,0.0,-,46.51,0.0,23.33,
51,VAIBHAVGBL,193800000.0,2021-04-13,4518.35,50000.0,3876.0,50000.0,3876.0,-,126000.0,0.0,
52,HCG,891124340.0,2021-04-13,172.2,4826471.0,184.6326933281066,0.0,-,-,0.0,-,
53,GNA,18800.0,2021-04-13,362.3,50.0,376.0,0.0,-,-,0.0,17.04,
54,CHALET,1139760000.0,2021-04-13,136.95,7200000.0,158.3,7200000.0,158.3,-,7200000.0,32.01,
55,HITECHGEAR,14019440.0,2021-04-13,164.15,75775.0,185.0140547674035,0.0,-,-,-,0.0,
56,KSB,80806110.0,2021-04-13,895.4,100000.0,808.0611,0.0,-,-,-,0.0,
57,TIRUPATI,7408350.0,2021-04-13,-,171000.0,43.32368421052632,0.0,-,-,0.0,-,
58,MOHITIND,2274862.0,2021-04-13,7.55,197569.0,11.514265902039288,50.0,10.32,54.1,50.0,0.0,
59,MONTECARLO,58968485.0,2021-04-13,224.3,271000.0,217.5958856088561,0.0,-,-,2376570.0,0.0,
60,PASHUPATI,32414400.0,2021-04-13,-,484800.0,66.86138613861387,0.0,-,-,0.0,-,
61,AURIONPRO,28672160.0,2021-04-13,164.05,224000.0,128.00071428571428,86000.0,131.5,-,-,63.59,
62,MASTEK,177213462.0,2021-04-13,1309.5,150000.0,1181.42308,0.0,-,44.32,-,0.0,
63,HARITASEAT,559027854.0,2021-04-13,-,1472600.0,379.6196210783648,1472600.0,379.6196210783648,-,385000.0,-,
64,DHANI,886309292.0,2021-04-13,204.1,3500000.0,253.23122628571429,0.0,-,-,1375000.0,0.0,
65,VIPIND,18930865.0,2021-04-13,333.2,51000.0,371.193431372549,51000.0,371.19039215686274,53.46,300000.0,0.0,
66,ARROWGREEN,1763750.0,2021-04-13,68.7,25000.0,70.55,50000.0,72.84,-,50000.0,-,
67,ONEPOINT,11649007.0,2021-04-13,12.1,925000.0,12.59352108108108,0.0,-,-,-,-,
68,NKIND,3000960.0,2021-04-13,20.65,138426.0,21.679164318841835,0.0,-,72.03,0.0,0.0,
69,PENINLAND,84312516.0,2021-04-13,6.95,13481469.0,6.253956152701163,0.0,-,-,41838396.0,26.39,
70,VASCONEQ,10959318.0,2021-04-13,16.85,580620.0,18.875198925286764,0.0,-,35.72,0.0,24.79,
71,21STCENMGM,1330000.0,2021-04-13,12.45,86461.0,15.382658077052081,0.0,-,60.63,0.0,0.0,
72,PPAP,8149171.0,2021-04-13,186.95,36500.0,223.2649589041096,0.0,-,64.78,0.0,0.0,
73,BLBLIMITED,4952591.0,2021-04-13,6.0,802076.0,6.1747153636313765,2208.0,7.04981884057971,-,0.0,0.0,
74,AIRAN,10741053.0,2021-04-13,15.95,674975.0,15.913260491129302,0.0,-,-,0.0,-,
75,ABFRL,1978278717.0,2021-04-13,176.5,9391750.0,210.6400529187851,0.0,-,-,0.0,0.0,
76,GABRIEL,363299965.0,2021-04-13,107.05,3239141.0,112.15935490304373,0.0,-,-,0.0,0.0,
77,WHEELS,261048458.0,2021-04-13,441.55,584655.0,446.5000008552052,0.0,-,57.53,0.0,-,PASSED/Kindly confirm PLEDGED data on website
78,NRBBEARING,1906840.0,2021-04-13,106.25,16983.0,112.2793381616911,0.0,-,-,-,1.25,
79,OCCL,3759992.0,2021-04-13,899.85,4000.0,939.998,4000.0,890.36525,51.76,217390.0,-,
80,KAKATCEM,2075021.0,2021-04-13,180.1,12102.0,171.46099818211866,0.0,-,54.26,-,0.0,
81,RELIGARE,0.0,2021-04-13,94.8,25000.0,0.0,0.0,-,-,17638579.0,5.2,
82,APLLTD,266554495.0,2021-04-13,975.8,284975.0,935.3609790332486,884975.0,934.0891290714427,69.48,-,0.0,
83,HGINFRA,51872551.0,2021-04-13,272.05,183774.0,282.26273031005474,0.0,-,-,-,-,
84,PRAKASH,18487800.0,2021-04-13,83.35,300000.0,61.626,0.0,-,-,0.0,55.73,
85,HEXATRADEX,140161772.0,2021-04-13,89.4,2050000.0,68.37159609756098,0.0,-,-,0.0,0.0,
86,DEEPAKFERT,187048100.0,2021-04-13,245.6,921872.0,202.9002941840082,0.0,-,-,0.0,74.54,
87,CHEMBOND,4180000.0,2021-04-13,187.65,22000.0,190.0,0.0,-,-,0.0,-,
88,RAJESHEXPO,951960.0,2021-04-13,492.65,2000.0,475.98,0.0,-,-,0.0,0.0,
89,KMSUGAR,85807.0,2021-04-13,11.9,6857.0,12.513781537115356,0.0,-,64.8,-,26.79,
90,ORIENTBELL,10525006.0,2021-04-13,212.7,45326.0,232.2068128667873,0.0,-,-,0.0,0.0,
91,NILKAMAL,56169693.0,2021-04-13,1886.5,30000.0,1872.3231,0.0,-,-,-,0.0,
92,THANGAMAYL,14013409.0,2021-04-13,608.95,22965.0,610.2072283910298,0.0,-,70.07,-,14.06,-
93,ROSSELLIND,69810000.0,2021-04-13,107.25,650000.0,107.4,650000.0,107.4,74.91,1300000.0,0.0,
94,PANAMAPET,6509096.0,2021-04-13,158.4,47376.0,137.39226612630867,0.0,-,71.7,0.0,0.0,
95,RANEHOLDIN,2032634.0,2021-04-13,572.7,3000.0,677.5446666666667,0.0,-,46.4,-,0.0,
96,STEELCITY,10343141.0,2021-04-13,35.1,279136.0,37.05412773701708,0.0,-,62.57,0.0,-,PASSED/Kindly confirm PLEDGED data on website
97,LINCOLN,171288615.0,2021-04-13,230.55,770000.0,222.45274675324674,0.0,-,37.26,0.0,-,
98,AARTIDRUGS,674696.0,2021-04-13,715.55,1000.0,674.696,1000.0,686.866,60.2,-,0.0,
99,CHOLAFIN,13013211.0,2021-04-13,532.45,26.0,500508.1153846154,0.0,-,-,-,0.0,
100,PKTEA,9215509.0,2021-04-13,213.45,42949.0,214.5686511909474,0.0,-,-,0.0,-,
101,RICOAUTO,1532956.0,2021-04-13,39.95,36250.0,42.28844137931034,0.0,-,50.32,0.0,0.0,
102,ORIENTELEC,38669680.0,2021-04-13,294.95,130000.0,297.4590769230769,130000.0,296.80885384615385,38.52,130000.0,8.56,
103,NAHARSPING,19778504.0,2021-04-13,98.05,220000.0,89.90229090909091,0.0,-,-,-,0.0,
104,ORIENTCEM,14406532.0,2021-04-13,100.65,140000.0,102.9038,140000.0,102.60297142857142,-,140000.0,19.39,
105,RAJRATAN,30529008.0,2021-04-13,788.0,47669.0,640.4373492206676,0.0,-,-,0.0,-,
106,REPL,6351385.0,2021-04-13,209.4,33150.0,191.5953242835596,0.0,-,-,0.0,-,
107,BCONCEPTS,1404000.0,2021-04-13,-,60000.0,23.4,0.0,-,-,0.0,-,
108,ARENTERP,106885.0,2021-04-13,11.2,10009.0,10.67888899990009,0.0,-,65.43,-,0.0,
109,KHADIM,1018914.0,2021-04-13,141.35,7000.0,145.55914285714286,0.0,-,-,0.0,-,
110,LOTUSEYE,240380.0,2021-04-13,43.35,6482.0,37.084233261339094,0.0,-,-,0.0,0.0,
111,GRASIM,874267.0,2021-04-13,1392.2,685.0,1276.302189781022,0.0,-,-,-,0.0,
112,GRAVITA,25962773.0,2021-04-13,92.4,337001.0,77.04064082895897,0.0,-,-,0.0,0.0,
113,PALASHSECU,5984666.0,2021-04-13,50.15,135567.0,44.14544837607973,0.0,-,-,0.0,0.0,
114,TANLA,58684635.0,2021-04-13,955.15,60000.0,978.07725,0.0,-,-,-,0.0,
115,TARC,56557031.0,2021-04-13,27.55,1695808.0,33.35108160829528,0.0,-,65.56,-,-,PASSED/Kindly confirm SAST/PLEDGED data on website
116,MOTILALOFS,252677830.0,2021-04-13,613.5,413378.0,611.2512760717793,0.0,-,-,-,0.0,
117,BHAGERIA,11678413.0,2021-04-13,155.9,70334.0,166.0422128700202,17200.0,169.4292441860465,-,17200.0,-,
118,TIRUMALCHM,4012200.0,2021-04-13,88.85,40000.0,100.305,140.0,105.46428571428571,41.9,-,0.0,
119,NCC,69829620.0,2021-04-13,75.75,742000.0,94.11,742000.0,93.92,-,-,23.28,
120,POLYPLEX,517562500.0,2021-04-13,786.0,650000.0,796.25,0.0,-,-,-,0.0,
121,DELTAMAGNT,1173768.0,2021-04-13,27.85,38715.0,30.318171251452924,0.0,-,-,-,0.0,
122,KARURVYSYA,61587.0,2021-04-13,55.15,1000.0,61.587,0.0,-,-,-,10.6,
123,MEGH,9401575.0,2021-04-13,122.25,114160.0,82.35437105816398,12500.0,113.13288,-,-,0.0,
124,ABCAPITAL,746950158.0,2021-04-13,116.1,6230000.0,119.89569149277689,0.0,-,70.69,-,0.0,PASSED/Kindly confirm SAST data on website
125,SCHAND,2947055.0,2021-04-13,98.2,32800.0,89.84923780487804,0.0,-,-,-,-,
126,TDPOWERSYS,15830085.0,2021-04-13,154.3,200000.0,79.150425,0.0,-,58.97,-,0.0,
127,UNIENTER,21035198.0,2021-04-13,74.65,247000.0,85.16274493927125,0.0,-,-,0.0,0.0,
128,CANTABIL,5883630.0,2021-04-13,374.35,15345.0,383.4232649071359,0.0,-,-,-,0.0,
129,PRECOT,1299903.0,2021-04-13,107.45,14835.0,87.62406471183013,0.0,-,61.5,0.0,82.92,
130,PNC,10801963.0,2021-04-13,45.7,594409.0,18.17261010516328,0.0,-,-,600000.0,0.0,
131,MENONBE,3247212.0,2021-04-13,55.1,55504.0,58.50410781204958,0.0,-,71.25,-,9.52,
132,JBCHEPHARM,4226526.0,2021-04-13,1234.75,3734.0,1131.9030530262453,0.0,-,-,-,0.0,
133,DABUR,43378850.0,2021-04-13,560.25,85000.0,510.33941176470586,8835497.0,510.6399999909456,67.38,-,0.0,
134,CGPOWER,40117848.0,2021-04-13,70.95,799900.0,50.15357919739967,0.0,-,-,0.0,95.86,
135,OMAXAUTO,2924990.0,2021-04-13,42.1,65000.0,44.99984615384616,0.0,-,-,-,0.0,
136,MANGLMCEM,19916640.0,2021-04-13,279.7,71900.0,277.0047287899861,0.0,-,-,0.0,0.0,
137,ADANIGREEN,23530452531.0,2021-04-13,1116.05,21500000.0,1094.4396526046512,0.0,-,-,370046427.0,5.28,
138,MANINFRA,20733694.0,2021-04-13,39.1,555428.0,37.32921998890945,0.0,-,65.72,0.0,0.0,PASSED
139,PAR,3017100.0,2021-04-13,123.95,46000.0,65.5891304347826,0.0,-,-,0.0,-,
140,ALEMBICLTD,125367103.0,2021-04-13,102.55,1204915.0,104.04642900121586,0.0,-,70.88,-,0.0,PASSED/Kindly confirm SAST data on website
141,MAZDA,10415144.0,2021-04-13,441.2,20000.0,520.7572,0.0,-,46.65,-,-,
142,POWERMECH,2344455.0,2021-04-13,585.7,5921.0,395.95591960817427,2250.0,416.50444444444446,-,-,-,
143,SPANDANA,10250550.0,2021-04-13,583.75,15000.0,683.37,0.0,-,62.38,-,-,PASSED/Kindly confirm SAST/PLEDGED data on website
144,SETCO,1993204.0,2021-04-13,15.25,134900.0,14.775418828762046,0.0,-,-,0.0,96.43,
145,ARCHIES,620500.0,2021-04-13,11.15,50000.0,12.41,0.0,-,-,0.0,0.0,
146,ASIANTILES,10613426.0,2021-04-13,163.15,42000.0,252.70061904761906,0.0,-,-,0.0,15.05,
147,BLS,19410690.0,2021-04-13,90.5,188330.0,103.06743482185526,0.0,-,-,-,-,
148,SERVOTECH,75200.0,2021-04-13,-,4000.0,18.8,0.0,-,-,-,-,
149,CONFIPET,71218802.0,2021-04-13,40.3,1646175.0,43.26320227193342,0.0,-,-,11406216.0,1.24,
150,APARINDS,95508800.0,2021-04-13,458.1,254000.0,376.01889763779525,0.0,-,-,0.0,-,
151,MRO-TEK,165997.0,2021-04-13,-,5627.0,29.500088857295182,0.0,-,-,-,0.0,
152,NITINSPIN,2586823.0,2021-04-13,85.05,35000.0,73.90922857142857,0.0,-,-,-,0.0,
153,NAHARCAP,2543381.0,2021-04-13,98.1,26827.0,94.80676184441049,0.0,-,-,-,0.0,
154,KCP,15000000.0,2021-04-13,89.9,200000.0,75.0,0.0,-,-,-,0.0,
155,ONWARDTEC,965947.0,2021-04-13,114.7,10000.0,96.5947,0.0,-,61.71,-,0.0,
156,WEWIN,200000.0,2021-04-13,-,4000.0,50.0,0.0,-,-,0.0,-,
157,EXCEL,1184830.0,2021-04-13,2.65,483270.0,2.4516936702050613,0.0,-,-,-,-,
158,SURYAROSNI,1124752.0,2021-04-13,363.55,3300.0,340.8339393939394,0.0,-,62.96,-,8.85,
159,DRREDDY,11429600.0,2021-04-13,4777.3,2600.0,4396.0,0.0,-,-,0.0,0.0,
160,SPECTRUM,2520000.0,2021-04-13,-,42000.0,60.0,0.0,-,-,-,-,
161,KDDL,734682.0,2021-04-13,286.0,3264.0,225.08639705882354,0.0,-,-,474202.0,6.81,
162,HINDCON,301760.0,2021-04-13,-,12000.0,25.14666666666667,0.0,-,-,0.0,-,
163,SAGCEM,3483432.0,2021-04-13,731.75,5100.0,683.0258823529412,0.0,-,50.28,-,0.0,
164,RMDRIP,476000.0,2021-04-13,-,16000.0,29.75,68000.0,25.31764705882353,-,-,-,
165,SILVERTUC,743500.0,2021-04-13,-,8000.0,92.9375,0.0,-,-,0.0,-,
166,WEBELSOLAR,1251622.0,2021-04-13,43.85,29500.0,42.42786440677966,0.0,-,-,200000.0,0.0,
167,AXISBANK,73592901.0,2021-04-13,661.0,150000.0,490.61934,0.0,-,13.58,-,0.0,
168,AVSL,491550.0,2021-04-13,-,15000.0,32.77,0.0,-,-,0.0,-,
169,VMART,92622.0,2021-04-13,2776.75,43.0,2154.0,0.0,-,46.67,0.0,0.0,
170,AIROLAM,90450.0,2021-04-13,22.7,3000.0,30.15,0.0,-,-,0.0,-,
171,GALAXYSURF,1998700.0,2021-04-13,2634.35,869.0,2300.0,736.0,2380.0,70.93,-,-,
